"date","total_value","km","category_name","quantity","cost_type","observation","vehicle_model","plate","unit","category_id","supplier","cost_name","invoice_number","id","created_date","updated_date","created_by_id","created_by","is_sample"
"2026-06-25","814.67","61505","","116.55","DIESEL (P)","","","ERG1E95","LT","","POSTO CRISTOVAO COLOMBO LTDA","COMBUSTÍVEIS","3170","6a564285dec857502abe2e05","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
"2026-06-25","502.97","118203","","73","DIESEL (P)","","","SDK8F89","LT","","REDE DE POSTOS MARAJO RIANAPOLIS LTDA","COMBUSTÍVEIS","3772","6a564285dec857502abe2e06","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
"2026-06-25","12.57","118203","","3","ARLA","","","SDK8F89","LT","","REDE DE POSTOS MARAJO RIANAPOLIS LTDA","COMBUSTÍVEIS","3773","6a564285dec857502abe2e07","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
"2026-06-25","3427.95","104998","","429.03","DIESEL (P)","","","SCB8F89","LT","","POSTO MEIRA COMERCIO DE COMBUSTIVEIS LTDA","COMBUSTÍVEIS","8497","6a564285dec857502abe2e08","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
"2026-06-25","119.56","104998","","28","ARLA","","","SCB8F89","LT","","POSTO MEIRA COMERCIO DE COMBUSTIVEIS LTDA","COMBUSTÍVEIS","8498","6a564285dec857502abe2e09","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
"2026-06-25","4014.07","136206","","600.01","DIESEL (P)","","","SCE8F89","LT","","AUTO POSTO MASUT LTDA","COMBUSTÍVEIS","48679","6a564285dec857502abe2e0a","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
"2026-06-25","29.54","110042","","5.92","ARLA","COMBUSTIVEL 16-06 A 30-06 FROTA","","SDF8F89","LT","","POSTO ALDEIA LTDA","COMBUSTÍVEIS","52574","6a564285dec857502abe2e0b","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
"2026-06-25","868.23","110042","","118.61","DIESEL (P)","COMBUSTIVEL 16-06 A 30-06 FROTA","","SDF8F89","LT","","POSTO ALDEIA LTDA","COMBUSTÍVEIS","52576","6a564285dec857502abe2e0c","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
"2026-06-25","313.37","360965","","74.79","ARLA","","","RCJ1E32","LT","","REDE DE POSTOS MARAJO RIO VERDE LTDA","COMBUSTÍVEIS","102553","6a564285dec857502abe2e0d","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
"2026-06-25","3501.99","360965","","501","DIESEL (P)","","","RCJ1E32","LT","","REDE DE POSTOS MARAJO RIO VERDE LTDA","COMBUSTÍVEIS","102554","6a564285dec857502abe2e0e","2026-07-14T14:07:01.608000","2026-07-14T14:07:01.608000","service_ee02f896-97ac-4ee7-b74a-be74c961f91f","service+ee02f896-97ac-4ee7-b74a-be74c961f91f@no-reply.base44.com","false"
