"date","total_value","km","category_name","cost_type","observation","cost_group","vehicle_model","plate","classification","attachment_url","supplier","invoice_number","id","created_date","updated_date","created_by_id","created_by","is_sample"
"2026-07-01","248","104998","TRUCK","SUSPENSÃO","OC 63048 COMPRA DE AMORTECEDOR SUSP. MB DIANT","PEÇAS","M.BENZ ATEGO 2429CE BAU 9,5MTS","SCB8F89","CORRETIVO","","4E EQUIPAMENTOS PARA CAMINHÕES LTDA","346086","6a4d29ac0c56bf847587ed6f","2026-07-07T16:30:36.528000","2026-07-07T16:30:36.528000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-07-01","40","324083","BI-CAÇAMBA","CONSERTO","OC 63657","PNEUS","CARRETA LIBRELATO 2E BI","RCI5J55","PREVENTIVO","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/465093c75_63657_LEANDROBENEDITOBORGESDEOLIVEIRA.pdf","LINCE BENEDITO BORGES DE OLIVEIRA","433","6a4d033d0a21f94e3c74606b","2026-07-07T13:46:37.245000","2026-07-07T13:46:37.245000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-07-01","40","134144","CARRETAS LS","CONSERTO","OC 63657","PNEUS","CARRETA LIBRELATO CRBAENI2","SCR8F89","PREVENTIVO","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/6ceaa97c1_63657_LEANDROBENEDITOBORGESDEOLIVEIRA.pdf","LINCE BENEDITO BORGES DE OLIVEIRA","433","6a4d030e854f531e707c1bfe","2026-07-07T13:45:50.601000","2026-07-07T13:45:50.601000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-07-01","120","46247","CESTO AÉREO","VULCANIZAÇÃO","OC 63657","PNEUS","VW 11-180","RET5E47","PREVENTIVO","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/8a3445532_63657_LEANDROBENEDITOBORGESDEOLIVEIRA.pdf","LINCE BENEDITO BORGES DE OLIVEIRA","433","6a4d029e72f3f30ffcebcece","2026-07-07T13:43:58.138000","2026-07-07T13:43:58.138000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-07-01","80","183588","CESTO AÉREO","RODÍZIO","FORAM 02 RODIZIOS 
KM 103359
KM 183591","PNEUS","VW 9-170","RBX9D43","PREVENTIVO","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/57a39e2f6_63657_LEANDROBENEDITOBORGESDEOLIVEIRA.pdf","LEANDRO BENEDITO BORGES DE OLIVEIRA","433","6a4d02270f49be3fbf44e966","2026-07-07T13:41:59.236000","2026-07-07T13:41:59.236000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-24","120","323183","CAVALO","REVISÃO","OC 63620
SERVIO REFERENTE A VAZAMENTO DE AR","SERVIÇOS","DAF XF FTT 530","RCN5F85","PREVENTIVO","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/2cc053d87_1672.pdf","LINCE DIESEL PEÇAS E SERVIÇOS LTDA","1672","6a4d00d0bcb52b89168a60f0","2026-07-07T13:36:16.606000","2026-07-07T13:36:16.606000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-17","9074","9774","PRESIDÊNCIA","ÓLEOS E FILTROS","COMPRA DE OLEOS E FILTROS PARA TROCA DE OLEO","PEÇAS","PORSCHE 911 CARRERA S","SCF8F89","PREVENTIVO","","BCLV COMERCIO DE VEICULOS SA","9560","6a4c102833967a18d1290627","2026-07-06T20:29:28.831000","2026-07-06T20:29:28.831000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-17","10200","42471","PRESIDÊNCIA","ÓLEOS E FILTROS","COMPRA DE FILTROS E OLEO PARA TROCA DE OLEO","PEÇAS","PORSCHE CAYENNE E-HYBRID","SCU8F80","PREVENTIVO","","BCLV COMERCIO DE VEICULOS SA","9528","6a4c0fc7ea0fe53974ea9c45","2026-07-06T20:27:51.923000","2026-07-06T20:27:51.923000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-30","344","95619","TRUCK","MOTOR","","SERVIÇOS","M.BENZ ATEGO 2429CE BAU 10MTS","SCN8F89","CORRETIVO","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/369a40759_SERVIOSEMVEICULOS1095.pdf","PADDOCK PNEUS E SERVIÇOS","1095","6a4bde8e098f10a0e2eee484","2026-07-06T16:57:50.005000","2026-07-06T16:57:50.005000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-30","115","360228","CAVALO","CONSERTO","","PNEUS","DAF XF FTS 480","RCJ1E32","PREVENTIVO","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/83bcbc11d_SERVIOSEMVEICULOS1095.pdf","PADDOCK PNEUS E SERVIÇOS","1095","6a4bde300833feb78f4e4b2f","2026-07-06T16:56:16.113000","2026-07-06T16:56:16.113000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
