"date","total_value","km","category_name","observation","supplier","vehicle_model","plate","cost_name","invoice_number","attachment_url","id","created_date","updated_date","created_by_id","created_by","is_sample"
"2026-07-01","150","46305","CESTO AÉREO","OC 63657","LINCE BENEDITO BORGES DE OLIVEIRA","VW 11-180","RET5E47","LAVAGEM DE VEÍCULOS","433","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/44bce8745_63657_LEANDROBENEDITOBORGESDEOLIVEIRA.pdf","6a4d02cd4901aa40fa1893d4","2026-07-07T13:44:45.979000","2026-07-07T13:44:45.979000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-01","208.26","","PRESIDÊNCIA","REF A MULTA DE TRANSITO -  PLACA SBZ-9D49 (DONA GRAÇA) TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA","DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES","CRETA","SBZ9D49","MULTAS DE TRÂNSITO","172372","","6a4bf656b7d0c912bca6608c","2026-07-06T18:39:18.347000","2026-07-06T18:39:18.347000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-01","406.22","","BAÚ 3/4","MULTA DADOS DA INFRAÇÃO AI09412831  POR TRANSITAR COM EXCESSO DE PESO - PBT/PBTC  LOCAL DA INFRAÇÃO : MGC491, KM 265.0","REF A MULTA DE TRANSITO -  PLACA SDF-8F89 TRANSITAR EM HORARIO NAO PERMITIDO PELA REGULAMENTAÇÃO","M.BENZ ACCELO 1017 CE","SDN8F89","MULTAS DE TRÂNSITO","161352","","6a4bf546cfc2017ff44422e8","2026-07-06T18:34:46.102000","2026-07-06T18:34:46.102000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-08","208.25","","BAÚ 3/4"," TRANSITAR EM HORARIO NAO PERMITIDO PELA REGULAMENTAÇÃO","DETRAN","M.BENZ ACCELO 1017 CE","SDF8F89","MULTAS DE TRÂNSITO","172373","","6a4bf4ae4628730d35632104","2026-07-06T18:32:14.568000","2026-07-06T18:32:14.568000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-15","104.13","","PRESIDÊNCIA","DESPESA COM MULTA DE TRANSITO -  J006105102","DEPARTAMENTO ESTADUAL DE TRÂNSITO","PORSCHE CAYENNE E-HYBRID","SCU8F80","MULTAS DE TRÂNSITO","4242","","6a4bf46fedfc5bc72153e137","2026-07-06T18:31:11.169000","2026-07-06T18:31:11.169000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-19","2256.85","103591","SEM PLACAS","","BLOCK SAT","S/MODELO","0000000","RASTREADOR DE VEÍCULOS","1841","","6a4bda79dc02b3279cac75e8","2026-07-06T16:40:25.295000","2026-07-15T14:37:18.448000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-12","5400","","SEM PLACAS","DESPESA COM PEDAGIO 29-04-26 A 27-05-2026","CONECTCAR INSTITUICAO DE PAGAMENTO E SOLUCOES DE MOBILIDADE ELETRONICA S.A","S/MODELO","0000000","PEDÁGIO","1206","","6a4bda2832c94775ce8f207a","2026-07-06T16:39:04.425000","2026-07-15T12:44:39.498000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-05","680","","SEM PLACAS","COMPRA DE 5 TAMPAS DE ARLA + 5 TAMPAS DE DIESEL PARA ESTOQUE (VEICULOS QUE FORAM PARA VILA VELHA)","4E EQUIPAMENTOS PARA CAMINHÕES","S/MODELO","0000000","ESTOQUE","342842","","6a4bd9583bd6703b7bd885aa","2026-07-06T16:35:36.763000","2026-07-15T12:45:04.346000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-01","160","57256","CESTO AÉREO","","FORT LAVA JATO","VW 9-170","FIL2E25","LAVAGEM DE VEÍCULOS","722","","6a4bd8fcee80e6c8873572b6","2026-07-06T16:34:04.927000","2026-07-06T16:34:04.927000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-02","150","","CESTO AÉREO","OC 59548","LEANDRO BENEDITO BORGES DE OLIVEIRA","VW 9-170","FCG0F18","LAVAGEM DE VEÍCULOS","420","","6a4bd8b4fd2852715958e193","2026-07-06T16:32:52.722000","2026-07-06T16:32:52.722000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-02","150","","CESTO AÉREO","OC 59548","LEANDRO BENEDITO BORGES DE OLIVEIRA","VW 9-170","FON1F81","LAVAGEM DE VEÍCULOS","420","","6a4bd8738b499004d9b54cdc","2026-07-06T16:31:47.913000","2026-07-06T16:31:47.913000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-06-02","150","42715","CESTO AÉREO","OC 59548","LEANDRO BENEDITO DE OLIVEIRA","VW 11-180","RET5E47","LAVAGEM DE VEÍCULOS","420","","6a4bd6c0d4195dfc9e06d26d","2026-07-06T16:24:32.211000","2026-07-06T16:24:32.211000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-07-01","350","","CARRETAS LS","","FORT LAVA JATO","CARRETA LIBRELATO CRBAENI2","SCR8F89","LAVAGEM DE VEÍCULOS","828","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/ba3ef6fa7_828.pdf","6a4804ffd2ce97dfec29ccb0","2026-07-03T18:52:47.070000","2026-07-03T18:52:47.070000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-07-01","160","","BAÚ 3/4","","FORT LAVA JATO","M.BENZ ACCELO 1017 CE","SDF8F89","LAVAGEM DE VEÍCULOS","828","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/ea634283e_828.pdf","6a4804dc3e3b978cdd5a2fdc","2026-07-03T18:52:12.278000","2026-07-03T18:52:12.278000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
