"name","description","is_active","id","created_date","updated_date","created_by_id","created_by","is_sample"
"SEM PLACAS","PARA USO EM RASTREADOR E PEDÁGIOS","true","6a0889028e419a72639c55ab","2026-05-16T15:10:58.322000","2026-05-16T15:10:58.322000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"BI-CAÇAMBA","","true","6a0720885c9dd6ed8a227602","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"RANGER","","true","6a0720885c9dd6ed8a22760a","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"STRADAS","","true","6a0720885c9dd6ed8a22760c","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"GOL","","true","6a0720885c9dd6ed8a227606","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CAVALO","","true","6a0720885c9dd6ed8a227604","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","","true","6a0720885c9dd6ed8a227605","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"PRESIDÊNCIA","","true","6a0720885c9dd6ed8a227609","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CARRETAS LS","","true","6a0720885c9dd6ed8a227603","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"TRUCK","","true","6a0720885c9dd6ed8a22760d","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"AMAROK","","true","6a0720885c9dd6ed8a227600","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"BAÚ 3/4","","true","6a0720885c9dd6ed8a227601","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"UP","","true","6a0720885c9dd6ed8a22760e","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"MOTOS","","true","6a0720885c9dd6ed8a227607","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"SAVEIROS","","true","6a0720885c9dd6ed8a22760b","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"OUTROS","","true","6a0720885c9dd6ed8a227608","2026-05-15T13:32:56.966000","2026-05-15T13:32:56.966000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
