"category_name","is_active","category_id","driver","year","renavan","vehicle_model","tracker","plate","company","chassis","id","created_date","updated_date","created_by_id","created_by","is_sample"
"OUTROS","true","6a0720885c9dd6ed8a227608","","","","EMPILHADEIRA","false","0000001","","","6a1970f3776c4bd99a5776d7","2026-05-29T10:56:51.840000","2026-05-29T10:59:11.559000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"AMAROK","true","6a0720885c9dd6ed8a227600","","2021/2022","","AMAROK","false","TFI2F39","","","6a0ca48e5e0d59b1cbcd3b0b","2026-05-19T17:57:34.932000","2026-05-19T17:57:34.932000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"SEM PLACAS","true","6a0889028e419a72639c55ab","","","","S/MODELO","true","0000000","","","6a088935c0b826e89e585888","2026-05-16T15:11:49.310000","2026-05-29T10:58:51.306000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"SAVEIROS","true","6a0720885c9dd6ed8a22760b","","2025","1439763604","VW SAVEIRO CS RB MF","true","TGD8F88","SAO BENTO LIGHTING SOLUTIONS LTDA","9BWKL45UXTP004528","6a072ab5f9c32e355dc00c30","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.020000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"STRADAS","true","6a0720885c9dd6ed8a22760c","","2024/2025","1420169669","FIAT STRADA ENDURAN CS13","true","SDN9A99","B M F PARTICIPAÇÕES","9BD281AJHSYG45170","6a072ab5f9c32e355dc00c37","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.127000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"PRESIDÊNCIA","true","6a0720885c9dd6ed8a227609","","2023","1353708966","PORSCHE CAYENNE E-HYBRID","false","SCU8F80","B M F PARTICIPAÇÕES","WP1BE29Y3PDA93080","6a072ab5f9c32e355dc00c26","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.878000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2020/2021","1234237943","VW 9-170","true","RBT2A64","SAO BENTO LIGHTING SOLUTIONS LTDA","9535H5TB2MR113891","6a072ab5f9c32e355dc00c1c","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.740000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"MOTOS","true","6a0720885c9dd6ed8a227607","","2016/2017","1108166994","BIZ 125 (CASA FERNANDO)","true","PQX3A71","B M F PARTICIPAÇÕES","9C2JC4830HR500500","6a072ab5f9c32e355dc00c22","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.827000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"MOTOS","true","6a0720885c9dd6ed8a227607","","2018/2019","1186953362","BIZ 125 (NEYDSON)","true","PRT4C24","B M F PARTICIPAÇÕES","9C2JC4830KR009481","6a072ab5f9c32e355dc00c21","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.817000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2020/2021","1234238060","VW 9-170","true","RBX9D43","SAO BENTO LIGHTING SOLUTIONS LTDA","9535H5TB9MR113189","6a072ab5f9c32e355dc00c1d","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.753000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
